# Day,Lon,Lat,Altitude[m],NO,acd_NO,NO2,acd_NO2,O3,acd_O3,FORM,toga_CH2O,HNO3,zhou_HNO3,ISOP,ptrms_isoprene,MEOH,toga_Methanol,MEOH,ptrms_methanol,ALD2,toga_Acetaldehyde,ALD2,ptrms_acetaldehyde,ACET,toga_Acetone,BENZ,toga_Benzene,PRPA,toga_Propane,TERP,ptrms_sum_of_monoterpenes,ISPD+HPLD,ptrms_MVK_MACR
20130603,-87.51061,34.59088,3877.415,0.022,18.115,0.036,46.075,65.138,94.629,0.193,639.000,0.120,-999.000,0.000,0.221,0.606,1254.000,0.606,-999.000,0.016,82.100,0.016,-999.000,0.507,1049.000,0.000,10.400,0.100,70.000,0.000,-999.000,0.000,-999.000
20130603,-87.51399,34.52123,3271.394,0.027,40.002,0.051,22.924,70.273,66.806,0.206,639.000,0.146,-999.000,0.000,0.214,0.620,1254.000,0.620,-999.000,0.018,82.100,0.018,-999.000,0.519,1049.000,0.000,10.400,0.100,70.000,0.000,-999.000,0.000,-999.000
20130603,-87.51694,34.45277,2662.781,0.034,36.613,0.076,35.760,75.707,72.947,0.221,1405.000,0.160,-999.000,0.000,0.235,0.598,2212.000,0.598,-999.000,0.014,291.000,0.014,-999.000,0.533,1425.000,0.000,18.250,0.100,424.000,0.000,-999.000,0.000,-999.000
20130603,-87.51714,34.38568,2051.613,0.028,60.329,0.060,47.954,58.368,56.334,0.379,1405.000,0.202,-999.000,0.000,0.207,0.878,2212.000,0.878,-999.000,0.046,291.000,0.046,-999.000,0.635,1425.000,0.002,18.250,0.100,424.000,0.000,-999.000,0.000,-999.000
20130603,-87.50524,34.32353,1440.660,0.022,60.139,0.050,60.001,49.427,53.088,0.360,2356.000,0.220,-999.000,0.000,0.217,0.854,3759.000,0.854,-999.000,0.024,537.300,0.024,-999.000,0.619,1601.000,0.002,25.290,0.100,465.000,0.000,-999.000,0.000,-999.000
20130603,-87.43538,34.31002,910.134,0.158,102.588,0.412,63.202,48.312,45.652,1.228,2356.000,1.387,-999.000,0.066,0.259,1.529,3759.000,1.529,-999.000,0.208,537.300,0.208,-999.000,0.788,1601.000,0.022,25.290,0.118,465.000,0.005,-999.000,0.180,-999.000
20130603,-87.36063,34.31720,818.927,0.204,91.080,0.542,69.452,47.567,42.386,1.396,2685.000,1.383,-999.000,0.157,0.294,1.663,4437.000,1.663,-999.000,0.243,801.600,0.243,-999.000,0.806,1633.000,0.025,24.080,0.121,566.000,0.012,-999.000,0.309,-999.000
20130603,-87.29170,34.32286,816.076,0.204,59.416,0.542,96.496,47.567,42.216,1.396,2685.000,1.383,-999.000,0.157,0.351,1.663,4437.000,1.663,-999.000,0.243,801.600,0.243,-999.000,0.806,1633.000,0.025,24.080,0.121,566.000,0.012,-999.000,0.309,-999.000
20130603,-87.22407,34.32771,817.882,0.184,50.791,0.496,95.520,48.026,42.234,1.376,2771.000,1.274,-999.000,0.118,0.289,1.670,4596.000,1.670,-999.000,0.251,769.900,0.251,-999.000,0.821,1624.000,0.026,23.400,0.121,486.000,0.010,-999.000,0.252,-999.000
20130603,-87.15445,34.33222,1042.926,0.168,45.801,0.407,92.079,49.378,46.914,1.174,2771.000,1.175,-999.000,0.021,0.179,1.508,4596.000,1.508,-999.000,0.215,769.900,0.215,-999.000,0.826,1624.000,0.023,23.400,0.116,486.000,0.002,-999.000,0.108,-999.000
